x_k   	y_prev	y_last	difference
0.0000	0.0000	0.0000	0.000000
0.1250	  -  	0.1252	  -  
0.2500	0.2496	0.2496	0.000042
0.3750	  -  	0.3714	  -  
0.5000	0.4886	0.4886	0.000042
