x_k   	y_prev	y_last	difference
0.0312	  -  	0.0313	  -  
0.0625	0.0626	0.0626	0.000002
0.0938	  -  	0.0939	  -  
0.1250	0.1252	0.1252	0.000029
0.1562	  -  	0.1565	  -  
0.1875	0.1877	0.1877	0.000044
0.2188	  -  	0.2187	  -  
0.2500	0.2496	0.2496	0.000041
0.2812	  -  	0.2804	  -  
0.3125	0.3110	0.3110	0.000044
0.3438	  -  	0.3413	  -  
0.3750	0.3714	0.3714	0.000027
0.4062	  -  	0.4012	  -  
0.4375	0.4307	0.4307	0.000025
0.4688	  -  	0.4598	  -  
0.5000	0.4886	0.4886	0.000049
