	  0.000	  0.100	  0.200	  0.300	  0.400	  0.500	  0.600	  0.700	  0.800	  0.900
0.000	4.000	4.000	4.000	4.000	4.000	2.000	2.000	2.000	2.000	2.000
0.015	4.000	4.000	4.000	4.000	4.000	4.000	2.000	2.000	2.000	2.000
0.030	4.000	4.000	4.000	4.000	4.000	4.000	2.289	2.000	2.000	2.000
0.045	4.000	4.000	4.000	4.000	4.000	4.000	3.991	2.000	2.000	2.000
0.060	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.110	2.000	2.000
0.075	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.924	2.000	2.000
0.090	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.038	2.000
0.105	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.660	2.000
0.120	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.013
0.135	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.103
